customer_id,name,dob,gender,region,risk_profile,age
CUST070,Raymond Keller,1980-06-09,F,Seville,High,45
CUST071,Jeffrey Rice,1989-09-22,F,Bilbao,High,36
CUST072,Susan Adkins,1966-04-10,F,Valencia,Medium,59
CUST073,Luke Moore,1985-05-04,M,Valencia,Medium,40
CUST074,Kathleen Webb,1979-08-22,F,Seville,High,46
CUST075,Patrick Waters,1954-06-23,M,Barcelona,High,71
CUST076,Dana Hansen,1971-03-21,F,Barcelona,Medium,54
CUST077,Renee Brown,1981-06-07,F,Bilbao,Low,44
CUST078,Donna Andrews,1953-02-20,F,Madrid,Low,72
CUST079,Christopher Bowman II,1976-07-16,M,Bilbao,Medium,49
CUST080,Natasha Campbell,1991-10-07,F,Seville,Low,34
CUST081,Christina Wilson,1986-04-20,M,Seville,Medium,39
CUST082,Timothy Hamilton,1976-04-21,F,Seville,Low,49
CUST083,Vanessa Robinson,1991-05-18,M,Seville,Low,34
CUST084,Darlene Owens,1958-02-10,F,Seville,High,67
CUST085,Shelley Mitchell,1969-03-15,M,Valencia,High,56
CUST086,Richard Richardson,1974-02-20,M,Barcelona,Low,51
CUST087,Timothy Alexander,1952-06-17,F,Seville,Low,73
CUST088,Joshua Williams,1970-06-05,M,Madrid,High,55
CUST089,Tina Trevino,1951-04-04,F,Madrid,High,74
CUST090,Laura Mclaughlin,1957-02-22,F,Madrid,High,68
CUST091,Randy Jacobs,1958-05-24,F,Madrid,Medium,67
CUST092,William Horton,1962-03-12,F,Valencia,Low,63
CUST093,Mary Patel,2006-04-08,F,Madrid,High,19
CUST094,William Page,1995-07-15,F,Seville,Low,30
CUST095,Robert Kim,1980-07-19,F,Bilbao,Medium,45
CUST096,Mercedes Bray,1957-07-27,F,Madrid,Medium,68
CUST097,Isaiah Raymond,2000-08-04,F,Valencia,High,25
CUST098,Steven Roberts,1956-12-11,F,Valencia,Medium,69
CUST099,Brandon Sullivan,1967-06-13,F,Madrid,Low,58
CUST100,April King,2000-09-07,M,Bilbao,High,25
